population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,1998,9585199.408277055,10283784.35422136,8905608.001045078
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,1999,4820044.257367162,5158552.290776537,4494988.788279072
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,1999,4571372.288882091,4892416.279531431,4263086.828335195
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,1999,9391416.546249252,10050968.570307968,8758075.616614265
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2000,4673877.510455364,5034873.689201912,4341689.420631576
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2000,4430340.846814256,4772526.989405073,4115461.721317417
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2000,9104218.35726962,9807400.678606983,8457151.141948992
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2001,4498277.872862572,4846425.148740018,4136987.65262942
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2001,4261234.206820781,4591035.326918407,3918982.7300200383
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2001,8759512.079683352,9437460.475658424,8055970.382649456
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2002,4310886.915794203,4666118.899554062,3942980.638267084
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2002,4081144.146911117,4417444.532338899,3732844.92671108
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2002,8392031.06270532,9083563.43189296,7675825.564978163
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2003,4125345.4250503927,4524591.21175546,3755052.474768904
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2003,3903083.115399571,4280818.632896008,3552740.5348197846
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2003,8028428.540449964,8805409.844651466,7307793.009588688
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2004,3958862.679348755,4360613.071561148,3559925.69698964
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2004,3742839.2415106543,4122667.302006101,3365671.071406515
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2004,7701701.9208594095,8483280.37356725,6925596.768396154
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2005,3823812.40528042,4197270.08903759,3477898.6695915987
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2005,3611490.177458616,3964211.130694437,3284783.758241228
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2005,7435302.582739036,8161481.219732027,6762682.427832826
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2006,3721775.695892208,4076919.7887116,3371760.843829042
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2006,3510829.145411136,3845844.023730398,3180652.7875757003
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2006,7232604.841303345,7922763.812441999,6552413.631404743
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2007,3654518.250853539,3924576.5789308567,3371994.7297548424
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2007,3442682.414118051,3697086.686593844,3176535.499286246
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2007,7097200.66497159,7621663.2655247,6548530.229041089
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2008,3622873.216001548,3879835.835550944,3350102.627306868
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2008,3407850.973053969,3649562.526525437,3151269.6739905705
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2008,7030724.189055517,7529398.362076379,6501372.301297437
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2009,3622268.254638962,3867696.253121133,3385836.50620602
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2009,3401934.652016368,3632433.873475806,3179884.4610067
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2009,7024202.906655329,7500130.126596939,6565720.967212719
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2010,3646918.4547833386,3906938.239200416,3383518.161602665
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2010,3419211.104467723,3662995.6983058634,3172257.075050874
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2010,7066129.559251062,7569933.937506278,6555775.236653538
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2011,3691392.818271476,3994065.4037540527,3401267.335995017
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2011,3454396.182842729,3737636.43263867,3182897.480900057
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2011,7145789.001114205,7731701.836392722,6584164.816895075
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2012,3752256.2663645223,4093938.563179344,3424842.151380013
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2012,3504022.3210026664,3823100.3129465897,3198268.5862694536
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2012,7256278.587367189,7917038.8761259345,6623110.737649467
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2013,3829146.7472036704,4180157.261120773,3480565.01103482
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2013,3567332.809910015,3894343.344002052,3242584.9884067946
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2013,7396479.557113686,8074500.605122825,6723149.999441613
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2014,3922496.729395605,4288382.80208999,3550087.890161977
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2014,3644283.689371944,3984218.363350362,3298288.8926328355
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2014,7566780.418767549,8272601.165440353,6848376.782794814
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2015,4030092.367351345,4409792.8125549285,3651499.165612759
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2015,3732247.023098209,4083885.5780258,3381633.8804315287
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2015,7762339.390449554,8493678.390580727,7033133.046044287
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2016,4148126.205417385,4518846.831930269,3788352.78313832
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2016,3828218.799258865,4170349.101330241,3496191.4427035856
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2016,7976345.00467625,8689195.93326051,7284544.225841905
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2017,4271392.351680445,4634207.064796874,3923830.254570665
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2017,3928384.386378492,4262063.790377575,3608732.759188153
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2017,8199776.738058937,8896270.855174448,7532563.013758818
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2018,4391457.342962302,4718632.690429175,4068634.799411983
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2018,4026219.678126136,4326183.840200927,3730246.297109923
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2018,8417677.021088438,9044816.530630104,7798881.096521907
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2019,4495889.803611427,4805302.952250609,4170008.5930091417
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2019,4111762.152190938,4394739.122165351,3813724.147169486
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2019,8607651.955802364,9200042.07441596,7983732.740178628
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2020,4569834.018632472,4905167.008634109,4197047.551117604
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2020,4173145.496049578,4479369.606421301,3832719.090723932
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2020,8742979.514682049,9384536.615055408,8029766.641841536
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2021,4607872.410440736,4957390.53574106,4239962.528291808
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2021,4204721.540280526,4523659.70941012,3869000.741490938
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2021,8812593.950721262,9481050.24515118,8108963.269782746
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2022,4609626.476723899,4999993.867472987,4241387.098146312
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2022,4205317.388725856,4561445.761512232,3869376.18616523
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2022,8814943.865449755,9561439.62898522,8110763.28431154
1,All Population,44,Population,20,Vietnam,1,Male,6,5-9 years,1,Number,2023,4587202.073676052,5011817.342353096,4165770.448439845
1,All Population,44,Population,20,Vietnam,2,Female,6,5-9 years,1,Number,2023,4184811.278917368,4572179.163963741,3800347.76711754
1,All Population,44,Population,20,Vietnam,3,Both,6,5-9 years,1,Number,2023,8772013.352593418,9583996.506316837,7966118.215557386
1,All Population,44,Population,20,Vietnam,1,Male,7,10-14 years,1,Number,1990,4102949.539116676,4429706.621427674,3771738.760945325
1,All Population,44,Population,20,Vietnam,2,Female,7,10-14 years,1,Number,1990,3915113.20336952,4226911.083176179,3599065.521487446
1,All Population,44,Population,20,Vietnam,3,Both,7,10-14 years,1,Number,1990,8018062.742486196,8656617.70460385,7370804.282432771
1,All Population,44,Population,20,Vietnam,1,Male,7,10-14 years,1,Number,1991,4191434.388595128,4542090.839863541,3859274.5182279614
1,All Population,44,Population,20,Vietnam,2,Female,7,10-14 years,1,Number,1991,4000688.552400887,4335387.159214882,3683644.775081904
1,All Population,44,Population,20,Vietnam,3,Both,7,10-14 years,1,Number,1991,8192122.9409960145,8877477.999078423,7542919.293309866
1,All Population,44,Population,20,Vietnam,1,Male,7,10-14 years,1,Number,1992,4288711.16694015,4646793.010786358,3925721.680471212
1,All Population,44,Population,20,Vietnam,2,Female,7,10-14 years,1,Number,1992,4095912.526888516,4437896.832375669,3749241.2014288185
1,All Population,44,Population,20,Vietnam,3,Both,7,10-14 years,1,Number,1992,8384623.693828667,9084689.843162024,7674962.881900031
